Gender,Category,Parental Education,Hometown Area,Family annual income,Guidance from family,Family member in same field,Percentage in 10th,Percentage in 12th ,Medium studied in?,CPI in graduation,Course,College type,Attendance in class,Living arrangement ,Participation in class,Homework submission,Preparation level,Study hours,Educational Technology,Internet Usage,Weekend plans,Study technique,Study environment,Learning style,Study Group Size,Sleeping time,Extracurricular Activities,Your class buddy friend,Relationship Status in last sem
Male,OBC,Primary (1-8),Rural,5 - 10 lakh,No,Yes,60-70%,Below 60%,Hindi,5.22,Law,Reputed University,70%,Other,Once in a while,Missed some homeworks,80%,5+ hours,Yes,1-2 hours,Sleeping all day,Practice by writing,Home (group study),From Professor in class,3,3am or later,Yes,Almost same as you,Healthy Relationship
Male,ST/SC,Secondary (9-12),Semi-Urban,above 10 lakh,No,No,80-90%,80-90%,Regional languages,6.42,MCA,Reputed University,80%,Other,Never,Missed some homeworks,100%,2 hours or less,No,1-2 hours,Revising the week's study material,Revising the whole notes,Library (group study),From YouTube/online platforms,4,1am,No,Almost same as you,Healthy Relationship
Female,OBC,Primary (1-8),Other,2.5 - 5 lakh,Yes,No,Above 90%,80-90%,Hindi,7.05,B.sc.,Regional and Private Colleges,90%,PG room,Never,Missed some homeworks,50%,2 hours or less,Yes,2-4 hours,Revising the week's study material,Summarizing and making short notes,Library (self),Reading from books,3,3am or later,Yes,Almost same as you,Toxic Relationship
Female,OBC,Primary (1-8),Other,above 10 lakh,No,No,Above 90%,Above 90%,Hindi,5.54,B.sc.,NIT,80%,Hostel room,Once in a while,On the due date,80%,2 hours or less,Yes,5+ hours,Netflix and Chill,Practice by writing,Home (self),From friends after class,2,1am,No,Worse than you,Healthy Relationship
Male,General,Tertiary (graduation or above),Rural,Below 1 lakh,No,Yes,70-80%,60-70%,English,7.15,B.tech,Reputed University,80%,PG room,Once in a while,On the due date,50%,5+ hours,No,0 hours,Revising the week's study material,Revising the whole notes,Home (self),From Professor in class,2,1am,No,Almost same as you,Toxic Relationship
Male,General,Tertiary (graduation or above),Rural,Below 1 lakh,No,Yes,Below 60%,Above 90%,English,5.57,M.tech,Reputed University,90%,Home,Never,2 or more days before due date,80%,5+ hours,Yes,0 hours,Going outside with friends,Summarizing and making short notes,Home (group study),From Professor in class,4,12am or before,No,Better than you,Single
Female,OBC,Secondary (9-12),Urban,Below 1 lakh,Yes,Yes,70-80%,Below 60%,Regional languages,9.18,B.tech,Reputed University,90%,PG room,Never,On the due date,100%,2 hours or less,Yes,0 hours,Netflix and Chill,Revising the whole notes,Home (group study),From friends after class,3,2am,Yes,Better than you,Toxic Relationship
Female,General,Primary (1-8),Rural,2.5 - 5 lakh,No,No,60-70%,60-70%,Hindi,6.25,BCA,Regional and Private Colleges,70%,Other,Never,Missed some homeworks,50%,5+ hours,No,1-2 hours,Going outside with friends,Practice by writing,Library (self),From friends after class,More than 4,1am,Yes,Better than you,Toxic Relationship
Female,ST/SC,Tertiary (graduation or above),Semi-Urban,1 - 2.5 lakh,No,No,Above 90%,80-90%,Hindi,9.99,Law,IIT,80%,Other,Once in a while,On the due date,50%,3-5 hours,Yes,5+ hours,Netflix and Chill,Summarizing and making short notes,Library (group study),From YouTube/online platforms,Alone,2am,No,Almost same as you,Healthy Relationship
Male,Other (PWD),Secondary (9-12),Semi-Urban,Below 1 lakh,Yes,No,80-90%,70-80%,Hindi,5.03,B.sc.,Regional and Private Colleges,90%,Hostel room,Once in a while,2 or more days before due date,10%,5+ hours,No,5+ hours,Revising the week's study material,Revising the whole notes,Library (group study),From Professor in class,Alone,3am or later,Yes,Almost same as you,Toxic Relationship
Male,General,Primary (1-8),Other,1 - 2.5 lakh,Yes,No,Below 60%,Below 60%,Regional languages,9.91,Law,IIT,70%,Hostel room,Frequently,2 or more days before due date,80%,5+ hours,No,1-2 hours,Netflix and Chill,Summarizing and making short notes,Library (self),From friends after class,Alone,2am,No,Better than you,Toxic Relationship
Other,General,Tertiary (graduation or above),Semi-Urban,5 - 10 lakh,No,No,70-80%,Below 60%,Regional languages,6.77,M.sc.,NIT,70%,Other,Never,Missed some homeworks,80%,2 hours or less,No,0 hours,Netflix and Chill,Practice by writing,Library (self),From Professor in class,4,3am or later,No,Almost same as you,Single
Other,OBC,Secondary (9-12),Other,2.5 - 5 lakh,Yes,No,Above 90%,Below 60%,Hindi,6.84,Law,IIT,70%,Hostel room,Once in a while,Missed some homeworks,100%,5+ hours,Yes,2-4 hours,Netflix and Chill,Revising the whole notes,Library (self),From friends after class,Alone,3am or later,Yes,Better than you,Toxic Relationship
Male,OBC,Primary (1-8),Rural,1 - 2.5 lakh,No,No,70-80%,Below 60%,English,5.79,M.sc.,IIT,80%,PG room,Never,On the due date,80%,3-5 hours,No,5+ hours,Going outside with friends,Practice by writing,Home (group study),Reading from books,4,1am,Yes,Worse than you,Single
